Tool	K	F0	f1	F1	Total no. of  Super-k-mers	Time (Wall clock)[s]	Memory (KB)	Memory (GB)	Data
KMC 2.3.0	96	22313944415	18827062017	133301631842	3672664908	5604	390566948	390.566948	giab/HG400/raw
KMC 2.3.0	112	22109427620	18628303695	119411042462	2999209217	4649	390162748	390.162748	giab/HG400/raw
KMC 2.3.0	128	21555678676	18091241186	105523758984	2499684147	9385	390252836	390.252836	giab/HG400/raw
KMC 2.3.0	144	20665848076	17226944701	91642776991	2122593433	6718	389457024	389.457024	giab/HG400/raw
KMC 2.3.0	160	19430487937	16025256688	77773477531	1824715106	13374	390436924	390.436924	giab/HG400/raw
KMC 2.3.0	176	17825004562	14463537933	63922639434	1571988668	8306	390104396	390.104396	giab/HG400/raw
KMC 2.3.0	192	15800761798	12501498467	50099551927	1365653631	14984	389810948	389.810948	giab/HG400/raw
AByss 1.9.0	96								
AByss 1.9.0	112								
AByss 1.9.0	128	21209831084							
AByss 1.9.0	144	20317980431							
AByss 1.9.0	160	19080664835							
AByss 1.9.0	176								
AByss 1.9.0	192								