Tool	K	F0	f1	F1	Total no. of  Super-k-mers	Time (Wall clock)[s]	Memory (KB)	Memory (GB)	Data	File
KMC 2.3.0	96	9561517916	6328891930	133413329043	3673863200	5089	390154104	390.154104	giab/H
KMC 2.3.0	112	9446964180	6181141882	119522743404	2999869494	4165	389458524	389.458524	giab/H
KMC 2.3.0	128	9207038897	5916472583	105635224865	2500000393	8530	390469960	390.46996		
KMC 2.3.0	144	8849355291	5541237073	91753810599	2122860638	5314	390435308	390.435308		
KMC 2.3.0	160	8375660181	5056556063	77883796346	1825018779	12369	389478464	389.478464		
KMC 2.3.0	176	7786129848	4463230069	64031983033	1572145191	7004	389454080	389.45408		
KMC 2.3.0	192	7079598844	3763989856	50207581342	1365794789	11895	390315960	390.31596		
AByss 1.9.0	96	9422137746								
AByss 1.9.0	112	9305498249								
AByss 1.9.0	128	9063966262								
AByss 1.9.0	144	8704901295								
AByss 1.9.0	160	8229897407								
AByss 1.9.0	176	7639075163								
AByss 1.9.0	192	6931146429								